,Unnamed: 0,Neighborhood,Area (in sq miles),Car-free commute (% of commuters),Disabled population,Foreign-born population,Mean travel time to work (minutes),Median household income (2018$),"Median rent, all (2018$)",num_of_stations,Percent Asian,Percent Hispanic,Percent black,Percent white,Population,"Population density (1,000 persons per square mile)",Poverty rate,Public housing (% of rental units),Rental vacancy rate,Residential units within 12 mile of a subway station,"Serious crime rate (per 1,000 residents)",Severely rent-burdened households,Unemployment rate,Privileged: Higher Percent white,Privileged: Higher Median household income (2018$),Privileged: Lower Percent Asian,Privileged: Lower Percent Hispanic,Privileged: Lower Percent black,Privileged: Lower Foreign-born population,Privileged: Lower Poverty rate,Privileged: Lower Unemployment rate,Privileged: Lower Severely rent-burdened households,"Privileged: Lower Serious crime rate (per 1,000 residents)",Privileged: Lower Disabled population,Division_BMT,Division_IND,Division_IRT,Structure_At Grade,Structure_Elevated,Structure_Open Cut,Structure_Subway,Structure_Viaduct,Borough_Bk,Borough_Bx,Borough_M,Borough_Q,ConnectingLine_N,ConnectingLine_Q,ConnectingLine_R,ConnectingLine_D,ConnectingLine_B,ConnectingLine_F,ConnectingLine_M,ConnectingLine_A,ConnectingLine_C,ConnectingLine_E,ConnectingLine_S,ConnectingLine_J,ConnectingLine_Z,ConnectingLine_1,ConnectingLine_2,ConnectingLine_3,ConnectingLine_L,ConnectingLine_G,ConnectingLine_5,ConnectingLine_4,ConnectingLine_7,ConnectingLine_6,binary_target,day_of_week,day,hour
0,492,0,0.20370620761773028,0.8287292817679556,0.15104166666666666,0.4246284501061571,0.6299212598425197,0.3701574803149607,0.4502923976608187,0.4583333333333333,0.3025830258302583,0.2719298245614035,0.08468677494199535,0.6317934782608696,0.3549750959528403,0.21913580246913575,0.18110236220472445,0.19619047619047625,0.14516129032258066,0.7018701870187019,0.14444444444444446,0.2851405622489959,0.13458445040214478,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.6666666666666666,0.0
1,493,0,0.20370620761773028,0.8287292817679556,0.15104166666666666,0.4246284501061571,0.6299212598425197,0.3701574803149607,0.4502923976608187,0.4583333333333333,0.3025830258302583,0.2719298245614035,0.08468677494199535,0.6317934782608696,0.3549750959528403,0.21913580246913575,0.18110236220472445,0.19619047619047625,0.14516129032258066,0.7018701870187019,0.14444444444444446,0.2851405622489959,0.13458445040214478,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.6666666666666666,0.2
2,494,0,0.20370620761773028,0.8287292817679556,0.15104166666666666,0.4246284501061571,0.6299212598425197,0.3701574803149607,0.4502923976608187,0.4583333333333333,0.3025830258302583,0.2719298245614035,0.08468677494199535,0.6317934782608696,0.3549750959528403,0.21913580246913575,0.18110236220472445,0.19619047619047625,0.14516129032258066,0.7018701870187019,0.14444444444444446,0.2851405622489959,0.13458445040214478,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.6666666666666666,0.4
3,495,0,0.20370620761773028,0.8287292817679556,0.15104166666666666,0.4246284501061571,0.6299212598425197,0.3701574803149607,0.4502923976608187,0.4583333333333333,0.3025830258302583,0.2719298245614035,0.08468677494199535,0.6317934782608696,0.3549750959528403,0.21913580246913575,0.18110236220472445,0.19619047619047625,0.14516129032258066,0.7018701870187019,0.14444444444444446,0.2851405622489959,0.13458445040214478,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.6666666666666666,0.6000000000000001
4,496,0,0.20370620761773028,0.8287292817679556,0.15104166666666666,0.4246284501061571,0.6299212598425197,0.3701574803149607,0.4502923976608187,0.4583333333333333,0.3025830258302583,0.2719298245614035,0.08468677494199535,0.6317934782608696,0.3549750959528403,0.21913580246913575,0.18110236220472445,0.19619047619047625,0.14516129032258066,0.7018701870187019,0.14444444444444446,0.2851405622489959,0.13458445040214478,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.6666666666666666,0.8
5,497,0,0.20370620761773028,0.8287292817679556,0.15104166666666666,0.4246284501061571,0.6299212598425197,0.3701574803149607,0.4502923976608187,0.4583333333333333,0.3025830258302583,0.2719298245614035,0.08468677494199535,0.6317934782608696,0.3549750959528403,0.21913580246913575,0.18110236220472445,0.19619047619047625,0.14516129032258066,0.7018701870187019,0.14444444444444446,0.2851405622489959,0.13458445040214478,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.6666666666666666,1.0
6,498,0,0.20370620761773028,0.8287292817679556,0.15104166666666666,0.4246284501061571,0.6299212598425197,0.3701574803149607,0.4502923976608187,0.4583333333333333,0.3025830258302583,0.2719298245614035,0.08468677494199535,0.6317934782608696,0.3549750959528403,0.21913580246913575,0.18110236220472445,0.19619047619047625,0.14516129032258066,0.7018701870187019,0.14444444444444446,0.2851405622489959,0.13458445040214478,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.16666666666666666,0.7037037037037037,0.0
7,499,0,0.20370620761773028,0.8287292817679556,0.15104166666666666,0.4246284501061571,0.6299212598425197,0.3701574803149607,0.4502923976608187,0.4583333333333333,0.3025830258302583,0.2719298245614035,0.08468677494199535,0.6317934782608696,0.3549750959528403,0.21913580246913575,0.18110236220472445,0.19619047619047625,0.14516129032258066,0.7018701870187019,0.14444444444444446,0.2851405622489959,0.13458445040214478,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.16666666666666666,0.7037037037037037,0.2
8,500,0,0.20370620761773028,0.8287292817679556,0.15104166666666666,0.4246284501061571,0.6299212598425197,0.3701574803149607,0.4502923976608187,0.4583333333333333,0.3025830258302583,0.2719298245614035,0.08468677494199535,0.6317934782608696,0.3549750959528403,0.21913580246913575,0.18110236220472445,0.19619047619047625,0.14516129032258066,0.7018701870187019,0.14444444444444446,0.2851405622489959,0.13458445040214478,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.16666666666666666,0.7037037037037037,0.4
9,501,0,0.20370620761773028,0.8287292817679556,0.15104166666666666,0.4246284501061571,0.6299212598425197,0.3701574803149607,0.4502923976608187,0.4583333333333333,0.3025830258302583,0.2719298245614035,0.08468677494199535,0.6317934782608696,0.3549750959528403,0.21913580246913575,0.18110236220472445,0.19619047619047625,0.14516129032258066,0.7018701870187019,0.14444444444444446,0.2851405622489959,0.13458445040214478,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.16666666666666666,0.7037037037037037,0.6000000000000001
